mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__class_weight,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.249002599716185,0.24725505867429068,3.3054813861846926,0.1393182666203224,0.401,,auto,linear,"{'svm__C': 0.401, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
43.631971788406375,1.015804642423063,8.672578144073487,0.7875367717807089,0.401,,auto,poly,"{'svm__C': 0.401, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.11538461538461539,0.11049723756906077,0.06779661016949153,0.1307901907356948,0.1307901907356948,0.11105176891891147,0.02310541241175058,191
30.65845513343811,0.3861206235765388,9.551117324829102,0.07695564828865331,0.401,,auto,rbf,"{'svm__C': 0.401, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.917057902973396,0.9131121642969984,0.8956661316211878,0.9237947122861586,0.8760064412238325,0.9051274704803147,0.017274882051233332,137
17.95718593597412,0.7932544845181297,3.8847038745880127,0.09371243983621867,0.401,,auto,sigmoid,"{'svm__C': 0.401, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.9315068493150684,0.9337442218798151,0.9161490683229814,0.9473684210526315,0.9214175654853621,0.9300372252111717,0.010802327565324557,53
15.735531044006347,0.16513592892116602,3.181375598907471,0.03851566267534939,0.401,balanced,scale,linear,"{'svm__C': 0.401, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
43.57754483222961,0.5091498055215025,9.19354181289673,0.6954937660689806,0.401,balanced,scale,poly,"{'svm__C': 0.401, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.23529411764705882,0.21875,0.176,0.24102564102564103,0.22164948453608246,0.21854384864175644,0.022828355308630532,173
30.94955062866211,0.254668560151222,10.514582443237305,0.23291216998832828,0.401,balanced,scale,rbf,"{'svm__C': 0.401, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.9359756097560976,0.9247311827956989,0.9221183800623053,0.9379727685325264,0.9130434782608695,0.9267682838814995,0.009213652931837029,111
19.80161600112915,0.5915966736855958,4.012999534606934,0.16843515781730764,0.401,balanced,scale,sigmoid,"{'svm__C': 0.401, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9359165424739195,0.9508196721311475,0.9291101055806938,0.9498525073746312,0.9415292353823088,0.9414456125885401,0.00826185468883842,13
16.060634994506835,0.2275349212664675,3.192316102981567,0.028591020633171534,0.401,balanced,auto,linear,"{'svm__C': 0.401, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
43.611203575134276,0.9831489088425983,8.393393898010254,0.9308222378066445,0.401,balanced,auto,poly,"{'svm__C': 0.401, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.23529411764705882,0.21875,0.176,0.24102564102564103,0.22164948453608246,0.21854384864175644,0.022828355308630532,173
31.122527074813842,0.2337894301803878,9.852065801620483,0.23530641894739418,0.401,balanced,auto,rbf,"{'svm__C': 0.401, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.9359756097560976,0.9247311827956989,0.9221183800623053,0.9379727685325264,0.9130434782608695,0.9267682838814995,0.009213652931837029,111
19.124604892730712,0.9446056427666126,4.055988454818726,0.07092850613309389,0.401,balanced,auto,sigmoid,"{'svm__C': 0.401, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.9359165424739195,0.9508196721311475,0.9291101055806938,0.9498525073746312,0.9415292353823088,0.9414456125885401,0.00826185468883842,13
